IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
51.12.217.144,443,443,true,AMS,Europe,Amsterdam,476,11.82
51.145.238.40,8443,443,true,AMS,Europe,Amsterdam,349,11.65
4.242.220.94,8080,443,true,SJC,North America,San Jose,245,11.57
4.219.15.140,2053,443,true,CPH,Europe,Copenhagen,171,11.49
20.169.80.29,443,443,true,LAX,North America,Los Angeles,174,11.46
20.215.241.164,8443,443,true,WAW,Europe,Warsaw,309,11.44
172.179.181.196,443,443,true,SEA,North America,Seattle,378,11.44
4.221.60.243,2053,443,true,JNB,Africa,Johannesburg,199,11.30
20.33.62.19,2083,443,true,LHR,Europe,London,687,10.95
20.217.216.51,2053,443,true,VIE,Europe,Vienna,330,10.89
4.221.60.243,8443,443,true,JNB,Africa,Johannesburg,254,10.81
20.217.216.51,8443,443,true,VIE,Europe,Vienna,486,10.70
74.249.233.213,443,443,true,ORD,North America,Chicago,331,10.25
98.71.19.116,443,443,true,DUB,Europe,Dublin,317,10.06
20.62.202.159,443,443,true,EWR,North America,Newark,435,9.42
4.255.56.138,443,443,true,EWR,North America,Newark,522,8.97
4.255.56.137,443,443,true,IAD,North America,Ashburn,379,8.90
158.23.81.224,2053,443,true,DFW,North America,Dallas,257,8.75
158.23.169.65,8443,443,true,DFW,North America,Dallas,265,8.71
158.23.81.224,8443,443,true,DFW,North America,Dallas,363,8.69
158.23.169.65,2053,443,true,DFW,North America,Dallas,247,8.58
20.151.238.192,8443,443,true,YYZ,North America,Toronto,277,8.48
20.151.63.165,8443,443,true,YYZ,North America,Toronto,425,8.38
20.151.60.161,8443,443,true,YYZ,North America,Toronto,438,8.37
20.221.32.145,443,443,true,ORD,North America,Chicago,292,8.30
20.121.115.188,443,443,true,EWR,North America,Newark,285,8.25
13.68.186.91,443,443,true,EWR,North America,Newark,445,8.16
20.127.201.36,443,443,true,IAD,North America,Ashburn,270,8.15
20.220.29.122,2053,443,true,YYZ,North America,Toronto,273,8.02
20.220.29.122,8443,443,true,YYZ,North America,Toronto,443,7.95
20.228.249.211,8443,443,true,EWR,North America,Newark,384,7.88
48.217.34.120,443,443,true,EWR,North America,Newark,284,7.87
104.210.3.231,8443,443,true,IAD,North America,Ashburn,621,7.78
172.191.74.198,443,443,true,EWR,North America,Newark,373,7.63
52.165.82.62,443,443,true,ORD,North America,Chicago,417,7.62
172.212.108.47,443,443,true,EWR,North America,Newark,349,7.53
20.109.23.42,443,443,true,IAD,North America,Ashburn,289,7.45
20.228.249.211,2053,443,true,IAD,North America,Ashburn,477,7.45
20.84.117.28,443,443,true,IAD,North America,Ashburn,453,7.36
20.246.127.166,443,443,true,IAD,North America,Ashburn,366,7.31
172.177.248.69,8443,443,true,IAD,North America,Ashburn,379,7.26
40.79.73.114,8443,443,true,IAD,North America,Ashburn,500,7.25
172.174.249.255,443,443,true,IAD,North America,Ashburn,247,7.13
40.123.47.225,8443,443,true,IAD,North America,Ashburn,533,7.10
4.172.225.82,8443,443,true,YYZ,North America,Toronto,308,6.91
104.46.101.90,8443,443,true,IAD,North America,Ashburn,334,6.85
40.123.42.160,8443,443,true,IAD,North America,Ashburn,326,6.81
104.46.111.142,8443,443,true,IAD,North America,Ashburn,333,6.77
4.172.225.98,8443,443,true,YYZ,North America,Toronto,247,6.45
172.208.44.21,443,443,true,IAD,North America,Ashburn,451,6.11
40.123.41.147,8443,443,true,IAD,North America,Ashburn,396,6.00
4.248.47.209,8443,443,true,YUL,North America,Montréal,470,5.89
191.235.86.71,8443,443,true,GRU,South America,São Paulo,442,4.07
20.52.104.187,443,443,true,KIX,Asia Pacific,Osaka,745,3.63
98.67.149.214,2053,443,true,FRA,Europe,Frankfurt,176,1.13
172.201.76.19,443,443,true,AMS,Europe,Amsterdam,301,0.14
20.220.204.217,443,443,true,YYZ,North America,Toronto,404,0.07
137.116.251.154,80,443,false,DUB,Europe,Dublin,167,0.02
13.90.157.110,80,443,false,IAD,North America,Ashburn,251,0.02
52.226.76.91,80,443,false,EWR,North America,Newark,270,0.02
20.48.5.180,80,80,false,NRT,Asia Pacific,Tokyo,82,0.00
20.78.16.129,443,443,true,NRT,Asia Pacific,Tokyo,130,0.00
40.66.63.160,80,80,false,CDG,Europe,Paris,146,0.00
51.140.191.188,2086,2086,false,LHR,Europe,London,151,0.00
51.143.162.160,80,80,false,LHR,Europe,London,152,0.00
104.40.244.228,80,80,false,AMS,Europe,Amsterdam,152,0.00
13.95.193.125,80,443,false,AMS,Europe,Amsterdam,156,0.00
51.140.44.206,2086,2086,false,LHR,Europe,London,158,0.00
51.145.10.26,80,8080,false,LHR,Europe,London,159,0.00
20.64.237.37,80,80,false,SEA,North America,Seattle,160,0.00
172.179.181.196,80,80,false,SEA,North America,Seattle,163,0.00
51.140.154.44,2086,2086,false,LHR,Europe,London,192,0.00
51.141.162.228,80,80,false,SEA,North America,Seattle,197,0.00
4.255.56.138,80,80,false,IAD,North America,Ashburn,223,0.00
40.76.252.162,80,80,false,IAD,North America,Ashburn,226,0.00
172.191.74.198,8080,80,false,IAD,North America,Ashburn,226,0.00
172.178.124.168,80,80,false,IAD,North America,Ashburn,226,0.00
20.119.73.200,80,80,false,IAD,North America,Ashburn,232,0.00
20.58.24.221,2086,2086,false,LHR,Europe,London,238,0.00
40.76.69.94,8080,80,false,EWR,North America,Newark,240,0.00
4.255.56.137,80,80,false,IAD,North America,Ashburn,250,0.00
172.174.249.255,80,80,false,IAD,North America,Ashburn,281,0.00
172.210.57.202,80,80,false,EWR,North America,Newark,327,0.00
104.40.244.228,443,443,true,AMS,Europe,Amsterdam,417,0.00
