IPµØÖ·,¶Ë¿Ú,protocol,country,city
158.180.74.88,443,https,KR,Chuncheon
158.180.69.77,443,https,KR,Chuncheon
129.154.203.153,2052,http,KR,Seoul
146.56.146.7,443,https,KR,Seoul
193.123.229.142,443,https,KR,Seoul
146.56.146.7,443,https,KR,Seoul
132.226.236.61,5555,http,KR,Seoul
146.56.47.239,30303,http,KR,Seoul
129.154.202.4,2053,https,KR,Seoul
129.154.202.4,2053,https,KR,Seoul
132.226.236.61,2052,http,KR,Seoul
140.238.12.169,443,https,KR,Seoul
193.123.233.143,2083,http,KR,Seoul
140.238.10.240,50001,http,KR,Seoul
130.162.156.12,2053,https,KR,Seoul
130.162.156.12,2053,https,KR,Seoul
146.56.170.255,443,https,KR,Seoul
146.56.119.58,443,https,KR,Chuncheon
152.70.235.14,443,https,KR,Seoul
152.70.93.226,443,https,KR,Seoul
140.238.29.117,443,http,KR,Seoul
146.56.159.98,443,https,KR,Seoul
158.180.89.12,443,https,KR,Chuncheon
152.69.224.139,7443,https,KR,Chuncheon
152.70.235.216,443,https,KR,Seoul
146.56.166.32,2053,http,KR,Seoul
158.180.86.24,7443,http,KR,Chuncheon
158.180.81.52,80,http,KR,Chuncheon
158.180.81.148,80,https,KR,Chuncheon
158.180.85.29,80,http,KR,Chuncheon
132.145.93.33,80,http,KR,Seoul
146.56.133.140,2083,http,KR,Seoul
140.238.19.30,2052,http,KR,Seoul
146.56.162.25,80,http,KR,Seoul
138.2.117.210,2082,https,KR,Chuncheon
193.123.236.90,443,https,KR,Seoul
146.56.166.32,2083,http,KR,Seoul
130.162.129.11,443,https,KR,Seoul
152.67.200.200,443,https,KR,Chuncheon
152.70.255.187,443,https,KR,Seoul
158.180.71.33,443,https,KR,Chuncheon
144.24.76.213,2052,http,KR,Chuncheon
129.154.63.145,443,https,KR,Chuncheon
140.238.19.30,2052,http,KR,Seoul
146.56.37.233,443,https,KR,Seoul
152.70.235.207,443,http,KR,Seoul
144.24.84.146,443,https,KR,Chuncheon
152.70.240.252,443,https,KR,Seoul
158.180.81.52,443,https,KR,Chuncheon
144.24.85.131,443,https,KR,Chuncheon
64.110.77.64,443,https,KR,Seoul
152.70.255.187,443,https,KR,Seoul
144.24.94.50,443,https,KR,Chuncheon
138.2.120.248,443,https,KR,Chuncheon
130.162.132.157,443,https,KR,Seoul
140.238.15.226,443,https,KR,Seoul
138.2.127.132,443,https,KR,Chuncheon
130.162.140.242,443,https,KR,Seoul
146.56.183.102,443,https,KR,Seoul
193.122.126.101,443,https,KR,Seoul
158.180.72.109,443,https,KR,Chuncheon
144.24.84.146,443,https,KR,Chuncheon
64.110.80.110,443,https,KR,Seoul
146.56.166.32,2052,http,KR,Seoul
146.56.140.79,25010,https,KR,Seoul
146.56.43.225,9527,http,KR,Seoul
146.56.43.225,9527,http,KR,Seoul
129.154.63.145,443,https,KR,Chuncheon
132.226.228.13,4433,https,KR,Seoul
146.56.39.148,9527,https,KR,Seoul
146.56.39.148,9527,http,KR,Seoul
193.123.233.143,2096,http,KR,Seoul
132.226.236.61,4433,http,KR,Seoul
138.2.120.248,443,https,KR,Chuncheon
152.69.227.122,443,https,KR,Chuncheon
193.122.98.74,8080,https,KR,Seoul
193.122.98.74,8080,https,KR,Seoul
193.122.120.252,8443,https,KR,Seoul
193.123.251.50,8080,https,KR,Seoul
193.123.253.172,8443,https,KR,Seoul
193.123.235.59,443,http,KR,Seoul
140.238.19.30,9527,http,KR,Seoul
140.238.19.30,9527,http,KR,Seoul
146.56.166.32,2086,http,KR,Seoul
146.56.166.32,2086,http,KR,Seoul
140.238.29.150,10001,https,KR,Seoul
140.238.29.150,10001,http,KR,Seoul
193.123.254.66,443,https,KR,Seoul
146.56.178.72,80,http,KR,Seoul
132.226.238.191,10002,https,KR,Seoul
132.226.22.3,9999,https,KR,Seoul
140.238.29.150,10000,https,KR,Seoul
140.238.29.150,10000,https,KR,Seoul
152.70.236.252,3000,http,KR,Seoul
140.238.8.153,10443,https,KR,Seoul
132.145.82.115,12333,https,KR,Seoul
132.145.82.115,12333,https,KR,Seoul
146.56.190.143,8443,https,KR,Seoul
146.56.150.154,8443,https,KR,Seoul
140.238.29.150,10002,https,KR,Seoul
193.122.114.63,8443,https,KR,Seoul
146.56.133.140,2096,http,KR,Seoul
146.56.133.140,2096,http,KR,Seoul
146.56.183.185,8443,https,KR,Seoul
146.56.183.185,8443,https,KR,Seoul
129.154.202.4,8443,https,KR,Seoul
129.154.202.4,8443,https,KR,Seoul
152.67.200.200,80,http,KR,Chuncheon
193.122.100.41,8443,https,KR,Seoul
140.238.12.52,8443,https,KR,Seoul
140.238.12.52,8443,https,KR,Seoul
144.24.85.158,80,http,KR,Chuncheon
146.56.179.20,8000,http,KR,Seoul
146.56.166.197,7777,https,KR,Seoul
146.56.166.197,7777,https,KR,Seoul
193.122.114.2,8181,http,KR,Seoul
130.162.140.242,80,http,KR,Seoul
193.123.253.18,8081,https,KR,Seoul
132.145.82.152,12291,http,KR,Seoul
146.56.99.245,80,http,KR,Chuncheon
132.226.229.255,80,http,KR,Seoul
146.56.146.7,80,https,KR,Seoul
129.154.203.153,4567,http,KR,Seoul
140.238.8.180,8080,http,KR,Seoul
132.145.91.117,80,http,KR,Seoul
138.2.122.57,8880,https,KR,Chuncheon
