host,ip,port,protocol,title,domain,country,city,link,as_organization
https://158.180.74.88,158.180.74.88,443,https,,,KR,Chuncheon,https://158.180.74.88,ORACLE-BMC-31898
https://158.180.69.77,158.180.69.77,443,https,,,KR,Chuncheon,https://158.180.69.77,ORACLE-BMC-31898
129.154.203.153:2052,129.154.203.153,2052,http,,,KR,Seoul,http://129.154.203.153:2052,ORACLE-BMC-31898
https://146.56.146.7,146.56.146.7,443,https,403 Forbidden,,KR,Seoul,https://146.56.146.7,ORACLE-BMC-31898
https://193.123.229.142,193.123.229.142,443,https,,,KR,Seoul,https://193.123.229.142,ORACLE-BMC-31898
https://146.56.146.7,146.56.146.7,443,https,,,KR,Seoul,https://146.56.146.7,ORACLE-BMC-31898
132.226.236.61:5555,132.226.236.61,5555,http,,,KR,Seoul,http://132.226.236.61:5555,ORACLE-BMC-31898
146.56.47.239:30303,146.56.47.239,30303,http,,,KR,Seoul,http://146.56.47.239:30303,ORACLE-BMC-31898
https://129.154.202.4:2053,129.154.202.4,2053,https,403 Forbidden,,KR,Seoul,https://129.154.202.4:2053,ORACLE-BMC-31898
https://129.154.202.4:2053,129.154.202.4,2053,https,,,KR,Seoul,https://129.154.202.4:2053,ORACLE-BMC-31898
132.226.236.61:2052,132.226.236.61,2052,http,,,KR,Seoul,http://132.226.236.61:2052,ORACLE-BMC-31898
https://140.238.12.169,140.238.12.169,443,https,,,KR,Seoul,https://140.238.12.169,ORACLE-BMC-31898
193.123.233.143:2083,193.123.233.143,2083,http,,,KR,Seoul,http://193.123.233.143:2083,ORACLE-BMC-31898
140.238.10.240:50001,140.238.10.240,50001,http,,,KR,Seoul,http://140.238.10.240:50001,ORACLE-BMC-31898
https://130.162.156.12:2053,130.162.156.12,2053,https,403 Forbidden,,KR,Seoul,https://130.162.156.12:2053,ORACLE-BMC-31898
https://130.162.156.12:2053,130.162.156.12,2053,https,,,KR,Seoul,https://130.162.156.12:2053,ORACLE-BMC-31898
https://146.56.170.255,146.56.170.255,443,https,,,KR,Seoul,https://146.56.170.255,ORACLE-BMC-31898
https://146.56.119.58,146.56.119.58,443,https,,,KR,Chuncheon,https://146.56.119.58,ORACLE-BMC-31898
https://152.70.235.14,152.70.235.14,443,https,,,KR,Seoul,https://152.70.235.14,ORACLE-BMC-31898
https://152.70.93.226,152.70.93.226,443,https,,,KR,Seoul,https://152.70.93.226,ORACLE-BMC-31898
140.238.29.117:443,140.238.29.117,443,http,,,KR,Seoul,http://140.238.29.117:443,ORACLE-BMC-31898
https://146.56.159.98,146.56.159.98,443,https,,,KR,Seoul,https://146.56.159.98,ORACLE-BMC-31898
https://158.180.89.12,158.180.89.12,443,https,,,KR,Chuncheon,https://158.180.89.12,ORACLE-BMC-31898
https://152.69.224.139:7443,152.69.224.139,7443,https,,,KR,Chuncheon,https://152.69.224.139:7443,ORACLE-BMC-31898
https://152.70.235.216,152.70.235.216,443,https,,,KR,Seoul,https://152.70.235.216,ORACLE-BMC-31898
146.56.166.32:2053,146.56.166.32,2053,http,,,KR,Seoul,http://146.56.166.32:2053,ORACLE-BMC-31898
158.180.86.24:7443,158.180.86.24,7443,http,,,KR,Chuncheon,http://158.180.86.24:7443,ORACLE-BMC-31898
158.180.81.52,158.180.81.52,80,http,,,KR,Chuncheon,http://158.180.81.52,ORACLE-BMC-31898
https://158.180.81.148:80,158.180.81.148,80,https,,,KR,Chuncheon,https://158.180.81.148:80,ORACLE-BMC-31898
158.180.85.29,158.180.85.29,80,http,,,KR,Chuncheon,http://158.180.85.29,ORACLE-BMC-31898
132.145.93.33,132.145.93.33,80,http,,,KR,Seoul,http://132.145.93.33,ORACLE-BMC-31898
146.56.133.140:2083,146.56.133.140,2083,http,,,KR,Seoul,http://146.56.133.140:2083,ORACLE-BMC-31898
140.238.19.30:2052,140.238.19.30,2052,http,,,KR,Seoul,http://140.238.19.30:2052,ORACLE-BMC-31898
146.56.162.25,146.56.162.25,80,http,,,KR,Seoul,http://146.56.162.25,ORACLE-BMC-31898
https://138.2.117.210:2082,138.2.117.210,2082,https,,,KR,Chuncheon,https://138.2.117.210:2082,ORACLE-BMC-31898
https://193.123.236.90,193.123.236.90,443,https,403 Forbidden,,KR,Seoul,https://193.123.236.90,ORACLE-BMC-31898
146.56.166.32:2083,146.56.166.32,2083,http,,,KR,Seoul,http://146.56.166.32:2083,ORACLE-BMC-31898
https://130.162.129.11,130.162.129.11,443,https,403 Forbidden,,KR,Seoul,https://130.162.129.11,ORACLE-BMC-31898
https://152.67.200.200,152.67.200.200,443,https,403 Forbidden,,KR,Chuncheon,https://152.67.200.200,ORACLE-BMC-31898
https://152.70.255.187,152.70.255.187,443,https,403 Forbidden,,KR,Seoul,https://152.70.255.187,ORACLE-BMC-31898
https://158.180.71.33,158.180.71.33,443,https,403 Forbidden,,KR,Chuncheon,https://158.180.71.33,ORACLE-BMC-31898
144.24.76.213:2052,144.24.76.213,2052,http,,,KR,Chuncheon,http://144.24.76.213:2052,ORACLE-BMC-31898
https://129.154.63.145,129.154.63.145,443,https,,,KR,Chuncheon,https://129.154.63.145,ORACLE-BMC-31898
140.238.19.30:2052,140.238.19.30,2052,http,,,KR,Seoul,http://140.238.19.30:2052,ORACLE-BMC-31898
https://146.56.37.233,146.56.37.233,443,https,,,KR,Seoul,https://146.56.37.233,ORACLE-BMC-31898
152.70.235.207:443,152.70.235.207,443,http,,,KR,Seoul,http://152.70.235.207:443,ORACLE-BMC-31898
https://144.24.84.146,144.24.84.146,443,https,403 Forbidden,,KR,Chuncheon,https://144.24.84.146,ORACLE-BMC-31898
https://152.70.240.252,152.70.240.252,443,https,,,KR,Seoul,https://152.70.240.252,ORACLE-BMC-31898
https://158.180.81.52,158.180.81.52,443,https,,,KR,Chuncheon,https://158.180.81.52,ORACLE-BMC-31898
https://144.24.85.131,144.24.85.131,443,https,,,KR,Chuncheon,https://144.24.85.131,ORACLE-BMC-31898
https://64.110.77.64,64.110.77.64,443,https,,,KR,Seoul,https://64.110.77.64,ORACLE-BMC-31898
https://152.70.255.187,152.70.255.187,443,https,,,KR,Seoul,https://152.70.255.187,ORACLE-BMC-31898
